Fecha,Indice Nacional de Precios al Consumidor y sus Componentes.
Dic-2001,50.434898785093
Ene-2002,50.900472009716
Feb-2002,50.867749849081
Mar-2002,51.127948444496
Abr-2002,51.407234972562
May-2002,51.511429231398
Jun-2002,51.762586176959
Jul-2002,51.911181353362
Ago-2002,52.108560301264
Sep-2002,52.421983564994
Oct-2002,52.653036086686
Nov-2002,53.078877281374
Dic-2002,53.309929803065
Ene-2003,53.525440675316
Feb-2003,53.67412245497
Mar-2003,54.012930412786
Abr-2003,54.10514419947
May-2003,53.930559670749
Jun-2003,53.975112399147
Jul-2003,54.053338701334
Ago-2003,54.215489910502
Sep-2003,54.538238163897
Oct-2003,54.738207386707
Nov-2003,55.19254160537
Dic-2003,55.429810786838
Ene-2004,55.77431734945
Feb-2004,56.107944757453
Mar-2004,56.298070935617
Abr-2004,56.383031952562
May-2004,56.241602942647
Jun-2004,56.331744509406
Jul-2004,56.479390179097
Ago-2004,56.82804118156
Sep-2004,57.297917049664
Oct-2004,57.694747165395
Nov-2004,58.186899397697
Dic-2004,58.307088153376
Ene-2005,58.309160373301
Feb-2005,58.503430991316
Mar-2005,58.767120976834
Abr-2005,58.976415189308
May-2005,58.828251464636
Jun-2005,58.771783471666
Jul-2005,59.001799883395
Ago-2005,59.072255360862
Sep-2005,59.309006487348
Oct-2005,59.454579937114
Nov-2005,59.882493351727
Dic-2005,60.250312388501
Ene-2006,60.603625885796
Feb-2006,60.696357727462
Mar-2006,60.772511809723
Abr-2006,60.861617266519
May-2006,60.590674511262
Jun-2006,60.64299806438
Jul-2006,60.809293713401
Ago-2006,61.119608647242
Sep-2006,61.736612130056
Oct-2006,62.006518775351
Nov-2006,62.331857303652
Dic-2006,62.692423570686
Ene-2007,63.016207934044
Feb-2007,63.192346627711
Mar-2007,63.329113142793
Abr-2007,63.291295129152
May-2007,62.982534360255
Jun-2007,63.058170387535
Jul-2007,63.326004812904
Ago-2007,63.583996193627
Sep-2007,64.077702590875
Oct-2007,64.327405091896
Nov-2007,64.781221255577
Dic-2007,65.049055680946
Ene-2008,65.350563680104
Feb-2008,65.544834298119
Mar-2008,66.019890716036
Abr-2008,66.170126660634
May-2008,66.098635073205
Jun-2008,66.372168103369
Jul-2008,66.742059360068
Ago-2008,67.127492266209
Sep-2008,67.58493481476
Oct-2008,68.0454856932
Nov-2008,68.818941780387
Dic-2008,69.295552363249
Ene-2009,69.456149407474
Feb-2009,69.60949368196
Mar-2009,70.009950182561
Abr-2009,70.254990188749
May-2009,70.050358471108
Jun-2009,70.179354161469
Jul-2009,70.370516449595
Ago-2009,70.538884318541
Sep-2009,70.892715870818
Oct-2009,71.107190633106
Nov-2009,71.476045779843
Dic-2009,71.771855174205
Ene-2010,72.552045976151
Feb-2010,72.971670511062
Mar-2010,73.489725492434
Abr-2010,73.255564640854
May-2010,72.793977652452
Jun-2010,72.771183233271
Jul-2010,72.92919000259
Ago-2010,73.131749500306
Sep-2010,73.515110186521
Oct-2010,73.968926350203
Nov-2010,74.561581248892
Dic-2010,74.93095445061
Ene-2011,75.295991345634
Feb-2011,75.578460244005
Mar-2011,75.723450928541
Abr-2011,75.71744095198
May-2011,75.159264378869
Jun-2011,75.155508143518
Jul-2011,75.516106737184
Ago-2011,75.635555021335
Sep-2011,75.821113047659
Oct-2011,76.332712302422
Nov-2011,77.158332832502
Dic-2011,77.792385359697
Ene-2012,78.343049462107
Feb-2012,78.502313840976
Mar-2012,78.547388665184
Abr-2012,78.30097962618
May-2012,78.053819340105
Jun-2012,78.4136666867
Jul-2012,78.8538974698
Ago-2012,79.090540296893
Sep-2012,79.439118937436
Oct-2012,79.841036119959
Nov-2012,80.383436504598
Dic-2012,80.568243283851
Ene-2013,80.89278201815
Feb-2013,81.290942965322
Mar-2013,81.887433139011
Abr-2013,81.941522928061
May-2013,81.668820241601
Jun-2013,81.619237934972
Jul-2013,81.592193040447
Ago-2013,81.824328385119
Sep-2013,82.132339683875
Oct-2013,82.522988160346
Nov-2013,83.292265160166
Dic-2013,83.770058296773
Ene-2014,84.519051625699
Feb-2014,84.733157040688
Mar-2014,84.96529238536
Abr-2014,84.806779253561
May-2014,84.535579061242
Jun-2014,84.682072239918
Jul-2014,84.914958831661
Ago-2014,85.219965142136
Sep-2014,85.596339924274
Oct-2014,86.06962557846
Nov-2014,86.763777871266
Dic-2014,87.188983712964
Ene-2015,87.110102770599
Feb-2015,87.275377126029
Mar-2015,87.630716990204
Abr-2015,87.403840375023
May-2015,86.967365827273
Jun-2015,87.11310775888
Jul-2015,87.240819760803
Ago-2015,87.424875292986
Sep-2015,87.752419015566
Oct-2015,88.203918504718
Nov-2015,88.685467876675
Dic-2015,89.046817717411
Ene-2016,89.386381393113
Feb-2016,89.777781116654
Mar-2016,89.910000600998
Abr-2016,89.625277961416
May-2016,89.225614520103
Jun-2016,89.324027886291
Jul-2016,89.556914478034
Ago-2016,89.809333493599
Sep-2016,90.357743854799
Oct-2016,90.906154215999
Nov-2016,91.616833944348
Dic-2016,92.039034797764
Ene-2017,93.603882444859
Feb-2017,94.144780335357
Mar-2017,94.722489332292
Abr-2017,94.838932628163
May-2017,94.725494320572
Jun-2017,94.963639641805
Jul-2017,95.322735741331
Ago-2017,95.793767654306
Sep-2017,96.093515235291
Oct-2017,96.69826912675
Nov-2017,97.695173988822
Dic-2017,98.272882985756
Ene-2018,98.794999699501
Feb-2018,99.17137448164
Mar-2018,99.492156980588
Abr-2018,99.154847046097
May-2018,98.994080173087
Jun-2018,99.376464931787
Jul-2018,99.909099104514
Ago-2018,100.492
Sep-2018,100.917
Oct-2018,101.44
Nov-2018,102.303
Dic-2018,103.02
Ene-2019,103.108
Feb-2019,103.079
Mar-2019,103.476
Abr-2019,103.531
May-2019,103.233
Jun-2019,103.299
Jul-2019,103.687
Ago-2019,103.67
Sep-2019,103.942
Oct-2019,104.503
Nov-2019,105.346
Dic-2019,105.934
Ene-2020,106.447
Feb-2020,106.889
Mar-2020,106.838
Abr-2020,105.755
May-2020,106.162
Jun-2020,106.743
Jul-2020,107.444
Ago-2020,107.867
Sep-2020,108.114
Oct-2020,108.774
Nov-2020,108.856
Dic-2020,109.271
Ene-2021,110.21
Feb-2021,110.907
Mar-2021,111.824
Abr-2021,112.19
May-2021,112.419
Jun-2021,113.018
Jul-2021,113.682
Ago-2021,113.899
Sep-2021,114.601
Oct-2021,115.561
Nov-2021,116.884
Dic-2021,117.308
Ene-2022,118.002
Feb-2022,118.981
Mar-2022,120.159
Abr-2022,120.809
May-2022,121.022
Jun-2022,122.044
Jul-2022,122.948
